movie_name,file_name,goodforairplanes
Life of Crime,Life_of_Crime,1
Lilting,Lilting,0
Limitless,Limitless,1
Lost Highway,Lost_Highway,0
Love Actually,Love_Actually,1
Love Rosie,Love_Rosie,1
Lucy,Lucy,0
Magic in the Moonlight,Magic_in_the_Moonlight,1
Magic Mike,Magic_Mike,1
Maleficent,Maleficent,1
Maps to the Stars,Maps_to_the_Stars,1
Mardaani,Mardaani,1
Mary Kom,Mary_Kom,0
Mommy,Mommy,0
Moonrise Kingdom,Moonrise_Kingdom,1
Moonstruck,Moonstruck,1
Mr. Mrs. Smith,Mr.___Mrs._Smith,1
Mr. Turner,Mr._Turner,1
Mrs. Doubtfire,Mrs._Doubtfire,1
Neighbors,Neighbors,0
New Kids Nitro,New_Kids_Nitro,1
Oliver Company,Oliver___Company,0
One Chance,One_Chance,1
Paddington,Paddington,1
Padosan,Padosan,0
Pak Van Mijn Hart,Pak_Van_Mijn_Hart,1
Pirates of the Caribbean The Curse of the Black Pearl,Pirates_of_the_Caribbean__The_Curse_of_the_Black_Pearl,0
PK,PK,1
Pride Prejudice,Pride___Prejudice,0
Prometheus,Prometheus,0
Rab Ne Bana Di Jodi,Rab_Ne_Bana_Di_Jodi,1
Ratatouille,Ratatouille,1
Rise of the Planet of the Apes,Rise_of_the_Planet_of_the_Apes,0
Rocky Balboa,Rocky_Balboa,0
Run Lola Run,Run_Lola_Run,1
Se7en,Se7en,0
Selma,Selma,0
Serena,Serena,1
Sleeping Beauty,Sleeping_Beauty,1
Smokey and the Bandit,Smokey_and_the_Bandit,0
Soul Surfer,Soul_Surfer,0
Star Wars Episode IV - A New Hope,Star_Wars__Episode_IV_-_A_New_Hope,0
Stardust,Stardust,0
Tammy,Tammy,1
Testament of Youth,Testament_of_Youth,0
The AristoCats,The_AristoCats,1
The Avengers,The_Avengers,1
The Best of Me,The_Best_of_Me,0
The Big Chill,The_Big_Chill,0
The Bridges of Madison County,The_Bridges_of_Madison_County,1
The Croods,The_Croods,1
The Departed,The_Departed,0
The Drop,The_Drop,1
The English Patient,The_English_Patient,1
The Face Reader,The_Face_Reader,1
The Fox and the Hound,The_Fox_and_the_Hound,0
The Gambler,The_Gambler,1
The Girl Next Door,The_Girl_Next_Door,0
The Girl with the Dragon Tattoo,The_Girl_with_the_Dragon_Tattoo,0
The Golden Era,The_Golden_Era,1
The Good the Bad and the Ugly,The_Good_the_Bad_and_the_Ugly,1
The Grand Budapest Hotel,The_Grand_Budapest_Hotel,1
The Green Mile,The_Green_Mile,0
The Hangover,The_Hangover,1
The Hobbit An Unexpected Journey,The_Hobbit__An_Unexpected_Journey,0
The Hobbit The Battle of the Five Armies,The_Hobbit__The_Battle_of_the_Five_Armies,0
The Incredibles,The_Incredibles,0
The King's Speech,The_King's_Speech,1
The Lego Movie,The_Lego_Movie,0
The Little Mermaid,The_Little_Mermaid,1
The Monuments Men,The_Monuments_Men,1
The Mummy,The_Mummy,0
The Queen,The_Queen,1
The Rewrite,The_Rewrite,1
The Silence of the Lambs,The_Silence_of_the_Lambs,0
The Simpsons Movie,The_Simpsons_Movie,1
The Social Network,The_Social_Network,0
The Talented Mr. Ripley,The_Talented_Mr._Ripley,1
The Trip to Italy,The_Trip_to_Italy,1
The Water Diviner,The_Water_Diviner,0
The White Haired Witch of Lunar Kingdom,The_White_Haired_Witch_of_Lunar_Kingdom,1
The Wolf of Wall Street,The_Wolf_of_Wall_Street,1
Thelma Louise,Thelma___Louise,0
There Will Be Blood,There_Will_Be_Blood,0
Tommy Boy,Tommy_Boy,1
Trainspotting,Trainspotting,0
Valkyrie,Valkyrie,0
Walk the Line,Walk_the_Line,1
Warrior,Warrior,0
Wassup Rockers,Wassup_Rockers,0
Watchmen,Watchmen,0
Whiplash,Whiplash,0
Wish I Was Here,Wish_I_Was_Here,1
X-Men Days of Future Past,X-Men__Days_of_Future_Past,0
X-Men First Class,X-Men__First_Class,0
Yentl,Yentl,1
